# Excludes: HavePlayedEvent, RecipeCard, IsGet/IsGetAnyway, PictureBookData.*.IsNew,
#   Shop_SoldNum, EnemyBattleData, BokoblinBasketItemNum, EquipmentPouchTime, EquipTime,
#   HaveTalked, MinusFieldGhostRandomSeed, TempName, MaterialShortCutCounter, DefeatedEnemyNum(bulk),
#   IsPickupZombieStickWeapon, IsGetSkyObjZonauRobotBackground, IsTreasureBoxOpen/Unlock,
#   EnemyGolemOreDrop, IsShowSheikahCameraTarget, EnemyGiantWeaponDrop, RealEnemyTreantAppleCount,
#   EnemyMogurudoOreDrop, PlacementShop_SoldNum, InstantTips_IsEnd, EnemyHaveKeyCrystalCancelAttachment,
#   ActionGuide_IsEnd, CharaDirectory, NewsPaperWomanStatus, Unknown, EquipmentDeathCount

d2ddb868;WString16Array;OwnedHorseList.Name
aabf3198;UInt64Array;OwnedHorseList.UidHash
7bde80e9;String64Array;OwnedHorseList.ActorName
c8454f7c;IntArray;OwnedHorseList.ChargeNum
f4505b59;IntArray;OwnedHorseList.ColorType
bf41c181;IntArray;OwnedHorseList.FootType
10d564d7;IntArray;OwnedHorseList.HorsePower
cea848b6;IntArray;OwnedHorseList.HorseType
2b38e761;IntArray;OwnedHorseList.RoomID
c0775abf;IntArray;OwnedHorseList.Speed
afe462c3;IntArray;OwnedHorseList.Toughness
dcd9f005;FloatArray;OwnedHorseList.Familiarity
48bfcf08;EnumArray;OwnedHorseList.Body.EyeColor
fbf44df2;EnumArray;OwnedHorseList.Body.Pattern
54049354;EnumArray;OwnedHorseList.Mane
fee5cd77;EnumArray;OwnedHorseList.Rein
1daf6cb4;EnumArray;OwnedHorseList.Saddle
ffc11580;BoolArray;OwnedHorseList.IsFamiliarityChecked
5dd10d95;UIntArray;OwnedHorseList.Body.NoseColor.Blue
fec02192;UIntArray;OwnedHorseList.Body.NoseColor.Green
9e10d432;UIntArray;OwnedHorseList.Body.NoseColor.Red
8641b84a;UIntArray;OwnedHorseList.Body.PrimaryColor.Blue
4c368f29;UIntArray;OwnedHorseList.Body.PrimaryColor.Green
88043afb;UIntArray;OwnedHorseList.Body.PrimaryColor.Red
f80ed57f;UIntArray;OwnedHorseList.Body.SecondaryColor.Blue
0edd22b8;UIntArray;OwnedHorseList.Body.SecondaryColor.Green
23f001ff;UIntArray;OwnedHorseList.Body.SecondaryColor.Red
acac7495;UIntArray;OwnedHorseList.Hair.PrimaryColor.Blue
ddfd5a47;UIntArray;OwnedHorseList.Hair.PrimaryColor.Green
23bc3488;UIntArray;OwnedHorseList.Hair.PrimaryColor.Red
452edf9d;UIntArray;OwnedHorseList.Hair.SecondaryColor.Blue
73c83bd4;UIntArray;OwnedHorseList.Hair.SecondaryColor.Green
2e525419;UIntArray;OwnedHorseList.Hair.SecondaryColor.Red
61312875;WString16Array;DeadHorseList.Name
3eadec36;UInt64Array;DeadHorseList.UidHash
b7176706;String64Array;DeadHorseList.ActorName
a810bc1b;IntArray;DeadHorseList.ChargeNum
0607438d;IntArray;DeadHorseList.ColorType
d426c271;IntArray;DeadHorseList.DeadCause
1ccec764;IntArray;DeadHorseList.FootType
4a3a814e;IntArray;DeadHorseList.HorsePower
0b1df444;IntArray;DeadHorseList.HorseType
7f47145c;IntArray;DeadHorseList.Speed
02319ac5;IntArray;DeadHorseList.Toughness
899c0abd;FloatArray;DeadHorseList.Familiarity
d87ae331;EnumArray;DeadHorseList.Body.EyeColor
682e195f;EnumArray;DeadHorseList.Body.Pattern
0a529580;EnumArray;DeadHorseList.Mane
877f32f3;EnumArray;DeadHorseList.Rein
f8544897;EnumArray;DeadHorseList.Saddle
af9f1f49;UIntArray;DeadHorseList.Body.NoseColor.Blue
5f2dfcfa;UIntArray;DeadHorseList.Body.NoseColor.Green
7c9d566d;UIntArray;DeadHorseList.Body.NoseColor.Red
83ae5e22;UIntArray;DeadHorseList.Body.PrimaryColor.Blue
9c162b17;UIntArray;DeadHorseList.Body.PrimaryColor.Green
d3f678c6;UIntArray;DeadHorseList.Body.PrimaryColor.Red
7aa74837;UIntArray;DeadHorseList.Body.SecondaryColor.Blue
4eb384ce;UIntArray;DeadHorseList.Body.SecondaryColor.Green
2ae6283f;UIntArray;DeadHorseList.Body.SecondaryColor.Red
e87b2b0b;UIntArray;DeadHorseList.Hair.PrimaryColor.Blue
e40c4d39;UIntArray;DeadHorseList.Hair.PrimaryColor.Green
d7ed8f9d;UIntArray;DeadHorseList.Hair.PrimaryColor.Red
06f4c635;UIntArray;DeadHorseList.Hair.SecondaryColor.Blue
114b097d;UIntArray;DeadHorseList.Hair.SecondaryColor.Green
54115fad;UIntArray;DeadHorseList.Hair.SecondaryColor.Red
a56722b6;ByteArray;AutoBuilder.Draft.Content.CombinedActorInfo
c180adf7;ByteArray;FigureInfo.Body
bbf85fd5;ByteArray;FigureInfo.Header
a14e000e;Bool;ActionGuide_IsNew.Backflip
0d69696d;Bool;ActionGuide_IsNew.ChargrAttack
afa3180e;Bool;ActionGuide_IsNew.JumpSlash
84f42840;Bool;ActionGuide_IsNew.JustGuard
ae53799a;Bool;ActionGuide_IsNew.ShieldSurfing
e5d6cd48;Bool;ActionGuide_IsNew.SideJump
97d4b41d;Bool;ActionGuide_IsNew.ThrowMaterial
f2b97f62;Bool;ActionGuide_IsNew.UseAmiibo
7e03e3a9;Bool;ActionGuide_IsNew.UseCameraPointer
0e7aeb1b;Bool;CheckPoint_IsDisplayFoliage.CheckPoint000
44f8c5ee;Bool;CheckPoint_IsDisplayFoliage.CheckPoint001
e9e39c0a;Bool;CheckPoint_IsDisplayFoliage.CheckPoint002
74acd11b;Bool;CheckPoint_IsDisplayFoliage.CheckPoint003
3cc2cd3f;Bool;CheckPoint_IsDisplayFoliage.CheckPoint004
89a21d18;Bool;CheckPoint_IsDisplayFoliage.CheckPoint005
c218ae9e;Bool;CheckPoint_IsDisplayFoliage.CheckPoint006
2926ed79;Bool;CheckPoint_IsDisplayFoliage.CheckPoint007
725bff6a;Bool;CheckPoint_IsDisplayFoliage.CheckPoint008
032b9123;Bool;CheckPoint_IsDisplayFoliage.CheckPoint009
da29f470;Bool;CheckPoint_IsDisplayFoliage.CheckPoint010
723f746f;Bool;CheckPoint_IsDisplayFoliage.CheckPoint011
fb01c1a7;Bool;CheckPoint_IsDisplayFoliage.CheckPoint012
641b9634;Bool;CheckPoint_IsDisplayFoliage.CheckPoint013
5b3fe625;Bool;CheckPoint_IsDisplayFoliage.CheckPoint014
0bd80c6c;Bool;CheckPoint_IsDisplayFoliage.CheckPoint016
2ec0d656;Bool;CheckPoint_IsDisplayFoliage.CheckPoint017
fc063553;Bool;CheckPoint_IsDisplayFoliage.CheckPoint018
8f4f97fa;Bool;CheckPoint_IsDisplayFoliage.CheckPoint019
b1b28103;Bool;CheckPoint_IsDisplayFoliage.CheckPoint020
5ec74ae8;Bool;CheckPoint_IsDisplayFoliage.CheckPoint021
d618386f;Bool;CheckPoint_IsDisplayFoliage.CheckPoint022
